Country/Region,Confirmed,Deaths,Recovered,Active,New cases,New deaths,New recovered,WHO Region
Afghanistan,36263,1269,25198,9796,106,10,18,Eastern Mediterranean
Albania,4880,144,2745,1991,117,6,63,Europe
Algeria,27973,1163,18837,7973,616,8,749,Africa
Andorra,907,52,803,52,10,0,0,Europe
Angola,950,41,242,667,18,1,0,Africa
Antigua and Barbuda,86,3,65,18,4,0,5,Americas
Argentina,167416,3059,72575,91782,4890,120,2057,Americas
Armenia,37390,711,26665,10014,73,6,187,Europe
Australia,15303,167,9311,5825,368,6,137,Western Pacific
Austria,20558,713,18246,1599,86,1,37,Europe
Azerbaijan,30446,423,23242,6781,396,6,558,Europe
Bahamas,382,11,91,280,40,0,0,Americas
Bahrain,39482,141,36110,3231,351,1,421,Eastern Mediterranean
Bangladesh,226225,2965,125683,97577,2772,37,1801,South-East Asia
Barbados,110,7,94,9,0,0,0,Americas
Belarus,67251,538,60492,6221,119,4,67,Europe
Belgium,66428,9822,17452,39154,402,1,14,Europe
Belize,48,2,26,20,0,0,0,Americas
Benin,1770,35,1036,699,0,0,0,Africa
Bhutan,99,0,86,13,4,0,1,South-East Asia
Bolivia,71181,2647,21478,47056,1752,64,309,Americas
Bosnia and Herzegovina,10498,294,4930,5274,731,14,375,Europe
Botswana,739,2,63,674,53,1,11,Africa
Brazil,2442375,87618,1846641,508116,23284,614,33728,Americas
Brunei,141,3,138,0,0,0,0,Western Pacific
Bulgaria,10621,347,5585,4689,194,7,230,Europe
Burkina Faso,1100,53,926,121,14,0,6,Africa
Burma,350,6,292,52,0,0,2,South-East Asia
Burundi,378,1,301,76,17,0,22,Africa
Cabo Verde,2328,22,1550,756,21,0,103,Africa
Cambodia,226,0,147,79,1,0,4,Western Pacific
Cameroon,17110,391,14539,2180,402,6,0,Africa
Canada,116458,8944,0,107514,682,11,0,Americas
Central African Republic,4599,59,1546,2994,0,0,0,Africa
Chad,922,75,810,37,7,0,0,Africa
Chile,347923,9187,319954,18782,2133,75,1859,Americas
China,86783,4656,78869,3258,213,4,7,Western Pacific
Colombia,257101,8777,131161,117163,16306,508,11494,Americas
Comoros,354,7,328,19,0,0,0,Africa
Congo (Brazzaville),3200,54,829,2317,162,3,73,Africa
Congo (Kinshasa),8844,208,5700,2936,13,4,190,Africa
Costa Rica,15841,115,3824,11902,612,11,88,Americas
Cote d'Ivoire,15655,96,10361,5198,59,0,183,Africa
Croatia,4881,139,3936,806,24,3,70,Europe
Cuba,2532,87,2351,94,37,0,2,Americas
Cyprus,1060,19,852,189,3,0,0,Europe
Czechia,15516,373,11428,3715,192,2,0,Europe
Denmark,13761,613,12605,543,109,0,77,Europe
Djibouti,5059,58,4977,24,9,0,11,Eastern Mediterranean
Dominica,18,0,18,0,0,0,0,Americas
Dominican Republic,64156,1083,30204,32869,1248,20,1601,Americas
Ecuador,81161,5532,34896,40733,467,17,0,Americas
Egypt,92482,4652,34838,52992,420,46,1007,Eastern Mediterranean
El Salvador,15035,408,7778,6849,405,8,130,Americas
Equatorial Guinea,3071,51,842,2178,0,0,0,Africa
Eritrea,265,0,191,74,2,0,2,Africa
Estonia,2034,69,1923,42,0,0,1,Europe
Eswatini,2316,34,1025,1257,109,2,39,Africa
Ethiopia,14547,228,6386,7933,579,5,170,Africa
Fiji,27,0,18,9,0,0,0,Western Pacific
Finland,7398,329,6920,149,5,0,0,Europe
France,220352,30212,81212,108928,2551,17,267,Europe
Gabon,7189,49,4682,2458,205,0,219,Africa
Gambia,326,8,66,252,49,2,6,Africa
Georgia,1137,16,922,199,6,0,2,Europe
Germany,207112,9125,190314,7673,445,1,259,Europe
Ghana,33624,168,29801,3655,655,0,307,Africa
Greece,4227,202,1374,2651,34,0,0,Europe
Greenland,14,0,13,1,1,0,0,Europe
Grenada,23,0,23,0,0,0,0,Americas
